name,label,elevation,active,display,globalid,locationname,locationmpname
TO 2 inch PVC casing,TO 2 inch PVC casing,271.78,Yes,,{13A38D61-D5CC-4D58-8546-C44460211565},NWFWMD-SAND HILL TOWER DEEP,NWFWMD-SAND HILL TOWER DEEP - TO 2 inch PVC casing
Bottom edge of 2 inch access pipe N side,Bottom edge of 2 inch access pipe N side,145.07,Yes,,{644EB09A-ECA1-4B96-96E6-7117EC4F360F},EAST MILTON #3/MILLERS BLUFF RD.,EAST MILTON #3/MILLERS BLUFF RD. - Bottom edge of 2 inch access pipe N side
Ch Square on wing wall,Ch Square on wing wall,78.3,Yes,,{27B89704-BE68-462F-83A3-6F3B43EA052B},MERRITTS MILL POND @ US 90,MERRITTS MILL POND @ US 90 - Ch Square on wing wall
Top of marked 1.5 inch Alum pipe attached to transducer,Top of marked 1.5 inch Alum pipe attached to transducer,82.49,Yes,,{BF00AEB0-C2F1-4A6A-B9DB-42E1C87F671A},MERRITTS MILL POND @ US 90,MERRITTS MILL POND @ US 90 - Top of marked 1.5 inch Alum pipe attached to transducer
TO 2 inch PVC casing,TO 2 inch PVC casing,21.68,Yes,,{D54ACA32-DDD7-4B3D-9954-10DA265C491C},NWFWMD THS-4,NWFWMD THS-4 - TO 2 inch PVC casing
Plug hole on side of turbine,Plug hole on side of turbine,217.21,Yes,,{AE82B3ED-E498-442C-97CB-06E20457BE53},MUNSON NURSERY,MUNSON NURSERY - Plug hole on side of turbine
Top of sanitary seal,Top of sanitary seal,11.2,Yes,,{8BE52E58-28C2-4A4D-9E11-6B4EC504A8D8},EAFB ISL NCO #71,EAFB ISL NCO #71 - Top of sanitary seal
Top of Extension,Top of Extension,169.37,Yes,,{D85CB57C-44C6-48C4-AD76-AAB7FD2A1A80},FAF #93,FAF #93 - Top of Extension
TO threaded pipe,TO threaded pipe,325.58,Yes,,{3F25215A-C2EF-429C-A350-0B455B89A401},PAXTON WELCOME CENTER,PAXTON WELCOME CENTER - TO threaded pipe
Staff on platform,Staff on platform,76.0,Yes,,{2B0E0529-198C-43A8-A080-4D1B9534BAD8},Lake Jackson - Miller Landing Road,Lake Jackson - Miller Landing Road - Staff on platform
TO casing below concrete slab,TO casing below concrete slab,118.46,Yes,,{D6D8F9EE-AA5A-4228-9C28-666273E8518E},NWFWMD-9 MILE ROAD DEEP/S674,NWFWMD-9 MILE ROAD DEEP/S674 - TO casing below concrete slab
TO 6 inch threaded casing,TO 6 inch threaded casing,187.22,Yes,,{349289FC-2832-41E5-98FA-43E3C8C13666},CITY OF TALLAHASSEE / LAFAYETTE PARK,CITY OF TALLAHASSEE / LAFAYETTE PARK - TO 6 inch threaded casing
Ch square,Ch square,29.78,Yes,,{C7834A62-E2D6-459F-A0E0-126E08F0570F},TELOGIA CRK @ CR65D,TELOGIA CRK @ CR65D - Ch square
Ch Square on rail left of station,Ch Square on rail left of station,88.74,Yes,,{EC024E87-CA82-4C21-BEEF-F10E99A6DC9F},Lake Miccosukee @ US90 Outfall,Lake Miccosukee @ US90 Outfall - Ch Square on rail left of station
TO 4 inch PVC casing,TO 4 inch PVC casing,203.25,Yes,,{99424EB0-5F4B-4454-B8B9-43C1F6B89534},NWFWMD-HQ FLORIDAN OBS/S704,NWFWMD-HQ FLORIDAN OBS/S704 - TO 4 inch PVC casing
Ch Square,Ch Square,9.5,Yes,,{2D2A5ECE-CA3F-46C4-A628-1156A846DC2A},Crooked River @ CR 67,Crooked River @ CR 67 - Ch Square
TO 2 inch PVC casing,TO 2 inch PVC casing,19.6,Yes,1.0,{7787D002-143A-4A8D-8FAF-A0F33F522A8A},NWFWMD-PORT ST JOE MEDIUM SHALLOW,NWFWMD-PORT ST JOE MEDIUM SHALLOW - TO 2 inch PVC casing
Ch Square closest to staff,Ch Square closest to staff,4.57,Yes,,{509335DE-2630-4195-B663-03116997202C},"DEER PT LK, NR DAM","DEER PT LK, NR DAM - Ch Square closest to staff"
Ch Square far side of LB,Ch Square far side of LB,4.56,Yes,,{CF8BD618-70C5-453E-8D7B-C79E020B8B1B},"DEER PT LK, NR DAM","DEER PT LK, NR DAM - Ch Square far side of LB"
Staff,Staff,-10.0,Yes,,{61058A4B-3C1F-4447-8434-99528809BB1C},"DEER PT LK, NR DAM","DEER PT LK, NR DAM - Staff"
Metal pipe below conduit- under water,Metal pipe below conduit- under water,10.0,Yes,,{9D96267F-CBD0-4211-9903-DD0968D117EE},GARNIER CREEK @ BLUE BARNES RD/S581,GARNIER CREEK @ BLUE BARNES RD/S581 - Metal pipe below conduit- under water
Hole in TO sanitary seal,Hole in TO sanitary seal,13.78,Yes,,{E9DB9D5B-5970-4E86-ABDC-9EF64D341429},LARRY PLANK FLORIDAN PRODUCTION #2,LARRY PLANK FLORIDAN PRODUCTION #2 - Hole in TO sanitary seal
Staff,Staff,0.0,Yes,,{DAFCD0E2-962E-45A6-B9A9-49427891D817},LAKE BRADFORD,LAKE BRADFORD - Staff
TO 2 inch PVC casing,TO 2 inch PVC casing,13.8,Yes,,{5656ACB3-A039-4698-8F15-59295971EE89},FRUS PIEZOMETER #1A/DRISKELL,FRUS PIEZOMETER #1A/DRISKELL - TO 2 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,221.83,Yes,,{4EF845E6-B18F-441C-9B4A-8F07F9E5F21D},NWFWMD-ESTO FLORIDAN,NWFWMD-ESTO FLORIDAN - TO 4 inch PVC casing
TO sanitary seal,TO sanitary seal,212.91,Yes,,{C5C72D18-70AD-4E6A-9FAE-530222C2C0FE},DAISY POND,DAISY POND - TO sanitary seal
TO sanitary seal,TO sanitary seal,177.2,Yes,,{68220339-791A-4C4F-A9DE-E080A9C6B110},WACISSA TOWER SUPPLY,WACISSA TOWER SUPPLY - TO sanitary seal
TO PVC casing in vault,TO PVC casing in vault,89.7,Yes,,{0B215901-C61E-4943-A417-E348D403FBEB},NWFWMD-9TH AVE SZ,NWFWMD-9TH AVE SZ - TO PVC casing in vault
TO casing at sanitary seal,TO casing at sanitary seal,53.98,Yes,,{9F421393-54CB-40FB-8E90-E15EAEAAD74C},J.H. RAWLS,J.H. RAWLS - TO casing at sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,160.56,Yes,,{D9A7C975-0B17-41C8-A936-FC6B113F18C7},NWFWMD GW-5S (LEON CTY VFD),NWFWMD GW-5S (LEON CTY VFD) - TO 4 inch PVC casing
TO sanitary seal,TO sanitary seal,13.14,Yes,,{6E8AE23E-1604-4451-98CC-20798C4ADE55},PINNACLE PORT #1R,PINNACLE PORT #1R - TO sanitary seal
Hole on TO steel cap,Hole on TO steel cap,126.33,Yes,,{5FE147EA-9A2D-4281-91F6-F5798D198886},USGS 032-724-1A (BEULAH),USGS 032-724-1A (BEULAH) - Hole on TO steel cap
TO 4 inch PVC casing,TO 4 inch PVC casing,106.44,Yes,,{E727ECB4-0D81-41B8-AA01-90AA70ABB40B},NWFWMD GW-3F-LZ (ANF FR-305),NWFWMD GW-3F-LZ (ANF FR-305) - TO 4 inch PVC casing
TO PVC casing,TO PVC casing,249.13,Yes,,{35074AAE-5250-4F94-BD02-5041EE92C2D9},NWFWMD SR-1D,NWFWMD SR-1D - TO PVC casing
TO 2 inch PVC casing N side,TO 2 inch PVC casing N side,92.6,Yes,,{EE5DC658-F567-4CE5-9367-6975B83DD9E3},NWFWMD-9TH AVE MPZ,NWFWMD-9TH AVE MPZ - TO 2 inch PVC casing N side
TO 4 inch PVC casing,TO 4 inch PVC casing,130.44,Yes,,{0EADBFC2-0A33-4D0E-9C9A-93B18A192CB6},NWFWMD-BAXTER SAND PIT VISA,NWFWMD-BAXTER SAND PIT VISA - TO 4 inch PVC casing
TO Hose bib,TO Hose bib,13.4,Yes,,{E783D03A-1D32-4AEE-B69A-5C5136618634},NWFWMD-HUNT CLUB SHALLOW,NWFWMD-HUNT CLUB SHALLOW - TO Hose bib
TO sanitary seal,TO sanitary seal,9.91,Yes,,{E71EF88F-7AE7-4E30-B4CF-077D81B4ECE7},EAFB A-10R,EAFB A-10R - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,166.91,Yes,,{2310785F-4467-4D9B-971A-913481509D4D},NWFWMD GW-6F (MICC GREENWAY),NWFWMD GW-6F (MICC GREENWAY) - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,42.15,Yes,,{4393DF71-144F-433D-BABE-05D60C26B6FA},NWFWMD-BALL PARK MPZ,NWFWMD-BALL PARK MPZ - TO 2 inch PVC casing
TO 3 inch steel casing,TO 3 inch steel casing,65.15,Yes,,{989511BA-EEC5-468C-B705-429BC6935F5B},NWFWMD-MUSCOGEE MPZ,NWFWMD-MUSCOGEE MPZ - TO 3 inch steel casing
TO sanitary seal,TO sanitary seal,91.13,Yes,,{26163E9C-0293-4F8D-9DC8-6452C9073F60},CHRISTY- Rolling Pines Rd,CHRISTY- Rolling Pines Rd - TO sanitary seal
Edge of casing N side,Edge of casing N side,25.7,Yes,,{8CBA2CF6-AB48-41DC-89BA-82A0F6C2DC32},ECUA SORRENTO MW-2W,ECUA SORRENTO MW-2W - Edge of casing N side
TO 4 inch PVC casing,TO 4 inch PVC casing,107.49,Yes,,{F3A8B044-0DB8-4602-8137-FE368CDB78CC},NWFWMD-GEORGE'S 40 FLORIDAN,NWFWMD-GEORGE'S 40 FLORIDAN - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,22.46,Yes,,{6E8B5750-6297-4656-A6E0-9784BECB48AE},NWFWMD GW-12F (RIVERSPRINGS MS),NWFWMD GW-12F (RIVERSPRINGS MS) - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,203.94,Yes,,{8BEEFE56-5975-4C05-A9BE-F50742C92246},NWFWMD-FGS-FLORIDAN #2,NWFWMD-FGS-FLORIDAN #2 - TO 4 inch PVC casing
TO 4 inch valve flange at plug base,TO 4 inch valve flange at plug base,131.05,Yes,,{9717C17A-3B70-4129-9E76-178AAE5C97B3},USGS-WHITING LOWER FLRD,USGS-WHITING LOWER FLRD - TO 4 inch valve flange at plug base
TO 0.75 inch galvanized access pipe,TO 0.75 inch galvanized access pipe,93.55,Yes,,{2C8F7773-5E37-49E0-BCC6-1122B52E8F8C},WAUSAU #1,WAUSAU #1 - TO 0.75 inch galvanized access pipe
TO 6 inch PVC casing,TO 6 inch PVC casing,85.07,Yes,,{A4BE12D2-4F8E-4BB5-B137-A2D4B6DA20CE},NW BAY CTY - SITE #1 UFA MONITOR/S717,NW BAY CTY - SITE #1 UFA MONITOR/S717 - TO 6 inch PVC casing
Slab,Slab,2.7,Yes,,{41048453-B9DC-4A98-AEE6-8E06034AE3D1},USGS-FREEPORT #17 / USGS WALTON #17,USGS-FREEPORT #17 / USGS WALTON #17 - Slab
TO of inner 8 inch PVC casing,TO of inner 8 inch PVC casing,17.17,Yes,,{018DA848-0850-41AC-A7A4-41427AC9468F},WRP LOWER FLORIDAN (920'--1083') MO#2,WRP LOWER FLORIDAN (920'--1083') MO#2 - TO of inner 8 inch PVC casing
Top of Extension,Top of Extension,132.32,Yes,,{33C50D44-6156-4CD1-B65C-B758A7481900},FAF #65/AKA USGS 40,FAF #65/AKA USGS 40 - Top of Extension
TO 4 inch steel casing,TO 4 inch steel casing,168.7,Yes,,{A64F22E7-C039-4B60-817A-DA662931F99D},NWFWMD-TRAPP POND FLORIDAN,NWFWMD-TRAPP POND FLORIDAN - TO 4 inch steel casing
TO 2 inch PVC casing,TO 2 inch PVC casing,25.91,Yes,1.0,{8611E5EC-B445-4993-AC3F-7773233800B5},NWFWMD-WELLER AVE DEEP MPZ/ S835,NWFWMD-WELLER AVE DEEP MPZ/ S835 - TO 2 inch PVC casing
TO steel plate,TO steel plate,60.79,Yes,,{373B5C12-8A91-4CFD-BC35-073628B03995},WRIGHT UPPER FLORIDAN,WRIGHT UPPER FLORIDAN - TO steel plate
TO 12 inch steel casing,TO 12 inch steel casing,25.98,Yes,,{E1E2436C-62F6-40F9-BE1B-FDBE9FE56849},NWFWMD-ST. MARKS NWR FAS MONITOR-77m,NWFWMD-ST. MARKS NWR FAS MONITOR-77m - TO 12 inch steel casing
TO 4 inch PVC casing,TO 4 inch PVC casing,239.04,Yes,,{B3542ABE-A874-4FD9-BE2E-C16E8EC249B2},NWFWMD-OAK GROVE DEEP MPZ,NWFWMD-OAK GROVE DEEP MPZ - TO 4 inch PVC casing
TO Sanitary Seal,TO Sanitary Seal,26.33,Yes,1.0,{EE009564-CD3F-44B5-8BC2-6B01256101FB},CHARLES DONAHUE / NITRATE POT. MAP,CHARLES DONAHUE / NITRATE POT. MAP - TO Sanitary Seal
TO 4 inch PVC riser pipe,TO 4 inch PVC riser pipe,91.4,Yes,,{FE3A357A-CC77-413F-ABA8-7E59D938F6B1},NWFWMD-EAFB FLD#4 (LOWERMOST FLRD),NWFWMD-EAFB FLD#4 (LOWERMOST FLRD) - TO 4 inch PVC riser pipe
TO sanitary seal,TO sanitary seal,32.35,Yes,,{12DF45E5-34BD-4CD5-942B-ED8C33204E47},USGS-ARRAN WORK CENTER/NITRATE POT.,USGS-ARRAN WORK CENTER/NITRATE POT. - TO sanitary seal
TO PVC casing,TO PVC casing,292.76,Yes,,{C9D9E3B2-5EAD-4833-AE38-40349B993EBF},NWFWMD SR-3S,NWFWMD SR-3S - TO PVC casing
TO sanitary seal,TO sanitary seal,19.32,Yes,,{083310A0-B659-499D-A966-417D62EDAD68},SANDY CAMPBELL / NITRATE POT. MAP,SANDY CAMPBELL / NITRATE POT. MAP - TO sanitary seal
TO 2 inch vent pipe nearside,TO 2 inch vent pipe nearside,208.5,Yes,,{BC0D5538-324C-473A-9820-E4F93ADD0893},ALTHA WEST #1,ALTHA WEST #1 - TO 2 inch vent pipe nearside
Ch square on bridge,Ch square on bridge,38.47,Yes,,{446C6F0F-DCD0-4F38-8F69-FF9781325093},BLACK CREEK @ CR 267,BLACK CREEK @ CR 267 - Ch square on bridge
TO spigot,TO spigot,18.1,Yes,,{CD78D8E3-9179-49DB-8B07-62EB935F9072},OLD COWFORD,OLD COWFORD - TO spigot
Ch Square on weir,Ch Square on weir,74.71,Yes,,{4EB2A311-A3E7-4503-97BA-645554132779},LAKE KINSALE OUTFALL,LAKE KINSALE OUTFALL - Ch Square on weir
TO 4 inch casing N side,TO 4 inch casing N side,15.28,Yes,,{C2EA3844-84A7-485E-A44C-CB92A7B83253},NWFWMD - YORK STREET,NWFWMD - YORK STREET - TO 4 inch casing N side
Top of galv pipe,Top of galv pipe,136.53,Yes,,{7EB003C7-0966-4D10-9B47-DF7028D417DE},EAFB RANGE 63 #31,EAFB RANGE 63 #31 - Top of galv pipe
TO 4 inch PVC casing,TO 4 inch PVC casing,47.43,Yes,,{14217C21-977F-4031-9B59-02DA226613F6},NWFWMD-BRADFORD BROOK SHALLOW,NWFWMD-BRADFORD BROOK SHALLOW - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,26.23,Yes,1.0,{F5C4EC29-7D3A-40D2-8FE7-FC4CC54AE436},NWFWMD-WELLER AVE SZ,NWFWMD-WELLER AVE SZ - TO 2 inch PVC casing
1.25 inch galv pipe 8ft from station,1.25 inch galv pipe 8ft from station,97.38,Yes,,{BD84A593-79E6-42FD-89A5-EBD7C9DAA87E},LAKE IAMONIA EAST,LAKE IAMONIA EAST - 1.25 inch galv pipe 8ft from station
TO 6 inch protective casing,TO 6 inch protective casing,99.37,Yes,,{C146F4B6-5A91-44D1-B01D-1AD26DAF3867},USGS #39/HOMER HIRT,USGS #39/HOMER HIRT - TO 6 inch protective casing
TO sanitary seal,TO sanitary seal,129.62,Yes,,{F243477C-97B2-46BB-975E-35354C1BB983},WILLIAM FISHER,WILLIAM FISHER - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,116.25,Yes,,{8557DFB4-47C6-4B68-B2AA-65EF3ECEE9E9},NWFWMD-RED ROCK SHALLOW,NWFWMD-RED ROCK SHALLOW - TO 4 inch PVC casing
Hole in base of turbine pump,Hole in base of turbine pump,213.77,Yes,,{72488F65-C126-4F8C-9482-0AAA4C7E4D8A},CRESTVIEW #4,CRESTVIEW #4 - Hole in base of turbine pump
TO 4 inch PVC casing,TO 4 inch PVC casing,73.41,Yes,,{46F75A7E-205C-4010-A928-DCA2CFA3D470},FGS-GEORGE'S 40 SAND,FGS-GEORGE'S 40 SAND - TO 4 inch PVC casing
TO 1 inch pipe in sanitary seal,TO 1 inch pipe in sanitary seal,51.25,Yes,,{30729772-BAC4-4AC0-8F78-CCCF8117A88F},BAY CO - HARDERS PARK #2,BAY CO - HARDERS PARK #2 - TO 1 inch pipe in sanitary seal
TO sanitary seal,TO sanitary seal,51.1,Yes,1.0,{9F53C877-4FA5-4F21-A5D6-A792ECCE00EE},BAY CO - HARDERS PARK #2,BAY CO - HARDERS PARK #2 - TO sanitary seal
TO 3 inch plug,TO 3 inch plug,285.84,Yes,,{9A6B3853-996E-4A61-A7C1-90D91513BDAB},PROSPERITY TOWER,PROSPERITY TOWER - TO 3 inch plug
TO 4 inch PVC casing,TO 4 inch PVC casing,237.2,Yes,,{4462616A-43B1-47B0-A86B-CE15BDBB1BEA},NWFWMD-DOGWOOD PARK DEEP MPZ,NWFWMD-DOGWOOD PARK DEEP MPZ - TO 4 inch PVC casing
TO PVC casing,TO PVC casing,18.47,Yes,,{E3A9CCC5-5B41-450A-AA4B-224F2EBFEF82},GULF BREEZE MW #13,GULF BREEZE MW #13 - TO PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,18.75,Yes,1.0,{1DC078D5-E18D-457F-B3E1-CD28E0B4F3E5},NWFWMD-PORT ST JOE FLORIDAN,NWFWMD-PORT ST JOE FLORIDAN - TO 4 inch PVC casing
TO 2 inch casing,TO 2 inch casing,58.55,Yes,,{36E807A9-CB9C-4BED-A081-D90CAE7E1434},USGS-WRIGHT TEST,USGS-WRIGHT TEST - TO 2 inch casing
TO 8 inch steel casing,TO 8 inch steel casing,22.6,Yes,,{FF231E5D-EEE6-404B-8FDF-2CC900A6CC95},Tyndall AFB Youth Center,Tyndall AFB Youth Center - TO 8 inch steel casing
Ch Square- East 5ft of station,Ch Square- East 5ft of station,56.02,Yes,,{C2A207EC-5193-45F0-80EC-4A081AEF53C3},NE D.D.@MAHAN DR,NE D.D.@MAHAN DR - Ch Square- East 5ft of station
TO PVC casing,TO PVC casing,30.14,Yes,,{7289AD66-5B81-478B-BD40-218D6CD486D2},NWFWMD-WOODS FIELD,NWFWMD-WOODS FIELD - TO PVC casing
TO sanitary seal,TO sanitary seal,179.05,Yes,,{BF33D029-9C65-4F25-B449-0E0E68FEB840},W.D. FLOURNOY,W.D. FLOURNOY - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,109.39,Yes,1.0,{D12CBF04-47D3-480C-A11C-21DE7EB6CA4C},NWFWMD-OTTER CAMP INT. LIMESTONE/S822,NWFWMD-OTTER CAMP INT. LIMESTONE/S822 - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,272.34,Yes,,{B980131A-69B5-41B6-B6F4-0DDA36E36F9E},NWFWMD-SAND HILL LOWER FLORIDAN,NWFWMD-SAND HILL LOWER FLORIDAN - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,124.09,Yes,,{220B4E89-6EE1-4A9F-8022-80660252ED5C},JACKSON BLUE #1 - CLAIBORNE,JACKSON BLUE #1 - CLAIBORNE - TO 4 inch PVC casing
Hole in top of 5 inch flange,Hole in top of 5 inch flange,91.72,Yes,,{41A51688-E1EE-4A85-81B8-56110718E99F},EAFB FLD #4 WELL #2 BLDG#4204,EAFB FLD #4 WELL #2 BLDG#4204 - Hole in top of 5 inch flange
Staff,Staff,0.0,Yes,,{9F33A3EC-9576-4F2C-A37C-5889D7570BB0},ECONFINA CREEK @ SCOTT RD,ECONFINA CREEK @ SCOTT RD - Staff
TO PVC casing,TO PVC casing,247.76,Yes,,{85FEC336-0E0C-4BC6-9046-D9EFCD97BA21},NWFWMD-ALLEN TOWER INTERMEDIATE,NWFWMD-ALLEN TOWER INTERMEDIATE - TO PVC casing
1st anchor pipe from station,1st anchor pipe from station,54.73,Yes,,{3C933E8F-8436-4F1B-AE79-7CD036251872},Piney Lake - Washington Co,Piney Lake - Washington Co - 1st anchor pipe from station
2nd anchor pipe form station,2nd anchor pipe form station,52.67,Yes,,{B5A59720-FF75-4324-A9E2-35E7A3901B82},Piney Lake - Washington Co,Piney Lake - Washington Co - 2nd anchor pipe form station
3rd anchor pipe from station,3rd anchor pipe from station,50.34,Yes,,{2D430CE4-F7B4-4189-BE09-35B2572A8B6B},Piney Lake - Washington Co,Piney Lake - Washington Co - 3rd anchor pipe from station
4th anchor pipe from station,4th anchor pipe from station,49.7,Yes,,{8D803135-3A7C-4EB9-9CEA-B7D099AECF76},Piney Lake - Washington Co,Piney Lake - Washington Co - 4th anchor pipe from station
Staff,Staff,54.21,Yes,,{EA2D72AD-00E8-4E3B-9DBF-389E9CCA5D96},Piney Lake - Washington Co,Piney Lake - Washington Co - Staff
Top of Staff Gage,Top of Staff Gage,60.87,Yes,,{69AB002F-607A-43B5-9096-9C0D3DB8E3FA},Piney Lake - Washington Co,Piney Lake - Washington Co - Top of Staff Gage
Top of Fence Post,Top of Fence Post,57.82,Yes,,{D26E1E4C-517A-4A4B-B13E-D1DFF55CA2DD},Piney Lake - Washington Co,Piney Lake - Washington Co - Top of Fence Post
TO 8 inch protective casing,TO 8 inch protective casing,24.68,Yes,,{EC20ABAE-2C5F-49AF-9C30-5994A1F697A3},WAKULLA CONDUIT WELL@WEST OF HWY 61,WAKULLA CONDUIT WELL@WEST OF HWY 61 - TO 8 inch protective casing
Hole in steel cap,Hole in steel cap,289.7,Yes,,{0D454257-6ECC-45DE-A00B-EB77225AA9C6},CAMP HENDERSON,CAMP HENDERSON - Hole in steel cap
TO steel plate,TO steel plate,68.75,Yes,,{42D54C0C-FBE7-462F-A089-9F123FFFF9CE},EAFB MAIN #61 HARDSTAND,EAFB MAIN #61 HARDSTAND - TO steel plate
TO 4 inch PVC casing,TO 4 inch PVC casing,166.71,Yes,,{88BDF3B6-D49C-4691-A019-99F35ED629AA},NWFWMD GW-6S (MICC GREENWAY),NWFWMD GW-6S (MICC GREENWAY) - TO 4 inch PVC casing
Hole in pump base,Hole in pump base,23.58,Yes,,{98495A84-6077-48EA-8697-82B5A58FFB40},MARY ESTHER #2,MARY ESTHER #2 - Hole in pump base
TO sanitary seal,TO sanitary seal,65.68,Yes,,{F6647EAA-2FD7-4346-A0E6-A4B1C4306F26},BILLY MILLER,BILLY MILLER - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,22.24,Yes,,{C7F6138F-7688-470A-B778-4F2BA5305FCF},NWFWMD A-4B (SURFICIAL MONITOR),NWFWMD A-4B (SURFICIAL MONITOR) - TO 4 inch PVC casing
TO 6 inch square aluminum protective casing,TO 6 inch square aluminum protective casing,22.43,Yes,,{3EEF03AB-7D1C-4137-BB7A-E52307B8D4E3},NWFWMD A-4B (SURFICIAL MONITOR),NWFWMD A-4B (SURFICIAL MONITOR) - TO 6 inch square aluminum protective casing
TO 3 inch steel casing,TO 3 inch steel casing,124.52,Yes,,{B8FAA6EB-52DF-41F5-9E5C-36C05D5E8D31},NWFWMD-WEDGEWOOD MPZ,NWFWMD-WEDGEWOOD MPZ - TO 3 inch steel casing
Nail in tree,Nail in tree,64.53,Yes,,{F0F54E4D-EC4E-41FF-A769-AA52BC53A56E},Spring Creek Cross-Section 23,Spring Creek Cross-Section 23 - Nail in tree
TO 2 inch PVC casing,TO 2 inch PVC casing,60.78,Yes,,{95950E0B-8FA8-4459-BDA5-F030B1F5410F},NWFWMD GW-4F-UZ (HWY27 DOT),NWFWMD GW-4F-UZ (HWY27 DOT) - TO 2 inch PVC casing
TO sanitary seal,TO sanitary seal,134.95,Yes,,{6C658CEE-FA9E-429E-8A5D-005761DD0087},ALEX MEYER,ALEX MEYER - TO sanitary seal
